更新日期,#genre#
CCTV1,http://36.46.98.177:8025/rtp/239.112.205.231:5140
CCTV1,http://36.46.98.177:8022/rtp/239.112.205.231:5140
CCTV1,http://36.46.98.177:8019/rtp/239.112.205.231:5140
CCTV1,http://36.46.98.177:8016/rtp/239.112.205.231:5140
CCTV1,http://36.46.98.177:8013/rtp/239.112.205.231:5140
CCTV1,http://61.150.11.191:4023/rtp/239.112.205.231:5140
CCTV1,http://36.46.98.177:8014/rtp/239.112.205.231:5140
CCTV1,http://36.46.98.177:8012/rtp/239.112.205.231:5140
CCTV1,http://36.46.98.177:8024/rtp/239.112.205.231:5140
CCTV1,http://36.46.98.177:8017/rtp/239.112.205.231:5140
CCTV1,http://36.46.98.177:8018/rtp/239.112.205.231:5140
CCTV1,http://36.46.98.177:8023/rtp/239.112.205.231:5140
CCTV1,http://36.46.98.177:8021/rtp/239.112.205.231:5140
CCTV1,http://36.46.98.177:8008/rtp/239.112.205.231:5140
CCTV1,http://124.114.103.172:6789/rtp/239.112.205.231:5140
CCTV1,http://171.213.128.150:4443/rtp/239.94.0.31:5140
CCTV1,http://171.213.133.193:9100/rtp/239.94.0.31:5140
CCTV1,http://171.213.136.180:8188/rtp/239.94.0.31:5140
CCTV1,http://171.213.204.52:58888/rtp/239.94.0.31:5140
CCTV1,http://171.213.245.88:4000/rtp/239.94.0.31:5140
CCTV1,http://171.213.244.216:4000/rtp/239.94.0.31:5140
CCTV1,http://171.213.228.101:8188/rtp/239.94.0.31:5140
CCTV1,http://171.213.209.227:8888/rtp/239.94.0.31:5140
CCTV1,http://171.213.245.99:4000/rtp/239.94.0.31:5140
CCTV1,http://171.213.233.138:8188/rtp/239.94.0.31:5140
CCTV1,http://171.213.129.2:4022/rtp/239.94.0.31:5140
CCTV1,http://171.213.175.124:8888/rtp/239.94.0.31:5140
CCTV1,http://171.213.131.209:9999/rtp/239.94.0.31:5140
CCTV1,http://171.213.211.199:4022/rtp/239.94.0.31:5140
CCTV1,http://171.213.152.150:9090/rtp/239.94.0.31:5140
CCTV1,http://171.213.196.72:4022/rtp/239.94.0.31:5140
CCTV1,http://171.213.222.165:8096/rtp/239.94.0.31:5140
CCTV1,http://171.213.215.238:4022/rtp/239.94.0.31:5140
CCTV1,http://171.213.237.150:8096/rtp/239.94.0.31:5140
CCTV1,http://171.213.232.205:4022/rtp/239.94.0.31:5140
CCTV1,http://171.213.231.157:4022/rtp/239.94.0.31:5140
CCTV1,http://171.213.195.85:8188/rtp/239.94.0.31:5140
CCTV1,http://171.213.234.201:4022/rtp/239.94.0.31:5140
CCTV1,http://171.213.209.221:8188/rtp/239.94.0.31:5140
CCTV1,http://171.213.169.17:66/rtp/239.94.0.31:5140
CCTV1,http://171.213.221.216:8188/rtp/239.94.0.31:5140
CCTV1,http://171.213.201.46:8888/rtp/239.94.0.31:5140
CCTV1,http://171.213.195.218:8088/rtp/239.94.0.31:5140
CCTV1,http://171.213.165.215:66/rtp/239.94.0.31:5140
CCTV1,http://171.213.129.175:8188/rtp/239.94.0.31:5140
CCTV1,http://171.213.231.213:58888/rtp/239.94.0.31:5140
CCTV1,http://171.213.153.47:8188/rtp/239.94.0.31:5140
CCTV1,http://171.213.144.7:8188/rtp/239.94.0.31:5140
CCTV1,http://171.213.131.36:66/rtp/239.94.0.31:5140
CCTV1,http://171.213.231.213:4022/rtp/239.94.0.31:5140
CCTV1,http://171.213.207.119:8888/rtp/239.94.0.31:5140
CCTV1,http://171.213.181.175:4023/rtp/239.94.0.31:5140
CCTV1,http://171.213.168.58:4000/rtp/239.94.0.31:5140
CCTV1,http://171.213.160.41:66/rtp/239.94.0.31:5140
CCTV1,http://171.213.135.101:66/rtp/239.94.0.31:5140
CCTV1,http://171.213.174.228:66/rtp/239.94.0.31:5140
CCTV1,http://171.213.136.2:8188/rtp/239.94.0.31:5140
CCTV1,http://171.213.213.218:8188/rtp/239.94.0.31:5140
CCTV1,http://171.213.208.214:5555/rtp/239.94.0.31:5140
CCTV1,http://171.213.203.218:8188/rtp/239.94.0.31:5140
CCTV1,http://171.213.156.159:8188/rtp/239.94.0.31:5140
CCTV1,http://171.213.219.200:3333/rtp/239.94.0.31:5140
CCTV1,http://171.213.196.88:8188/rtp/239.94.0.31:5140
CCTV1,http://171.213.216.252:8188/rtp/239.94.0.31:5140
CCTV1,http://171.213.196.104:11111/rtp/239.94.0.31:5140
CCTV1,http://171.213.223.126:8888/rtp/239.94.0.31:5140
CCTV2,http://183.151.59.105:4022/rtp/233.50.201.119:5140
CCTV2,http://60.186.2.77:4022/rtp/233.50.201.119:5140
